Polish,English
nie,not
to,this
się,self
w,in
na,on
i,and
że,that
z,from
co,what
jest,is
do,to
tak,yes
o,about
jak,how
ale,but
a,and
mnie,me
mi,me
za,behind
ja,I
tym,this
tego,of this
go,him
ci,you
po,after
tylko,only
czy,whether
tu,here
może,maybe
jestem,I am
ma,has
ty,you
cię,you
mam,I have
jesteś,you are
już,already
jeśli,if
dla,for
wiem,I know
coś,something
dobrze,well
więc,so
od,from
teraz,now
pan,sir
wszystko,everything
być,to be
będzie,will be
masz,you have
nic,nothing
tam,there
mogę,I can
proszę,please
jej,her
są,are
gdzie,where
kiedy,when
ten,this
on,he
ciebie,you
by,would
sobie,for oneself
ze,with
był,was
wiesz,you know
bardzo,very
było,was
przez,through
jego,his
ją,her
chcę,I want
dlaczego,why
pani,ma'am
jeszcze,still
mój,my
nas,us
żeby,so that
no,well
bo,because
chcesz,you want
ich,them
też,also
tutaj,here
naprawdę,really
nigdy,never
mamy,we have
kto,who
możesz,you can
dobra,good
przepraszam,I am sorry
mu,him
gdy,when
muszę,I must
porządku,order
dziękuję,thank you
nawet,even
chyba,probably
domu,home
ona,she
prawda,true
zrobić,to do
była,was
właśnie,just
będę,I will
zawsze,always
hej,hey
nim,him
nam,to us
te,these
moja,my
musisz,you must
je,them
dzięki,thanks
bez,without
tej,this
trochę,a bit
ktoś,someone
panie,sir
jesteśmy,we are
moje,my
powiedzieć,to say
który,which
czas,time
więcej,more
twój,your
musimy,we must
lat,years
ta,this
chce,wants
możemy,we can
wszyscy,everyone
tobą,you
albo,or
prostu,simple
chodzi,it's about
razem,together
stało,happened
cześć,hello
mną,me
czego,what
sam,myself
myślę,I think
pana,sir
przed,before
boże,God
raz,once
czemu,why
będziesz,you will
niż,than
ludzie,people
dalej,farther
czym,what
was,you
dobry,good
przy,near
ludzi,people
dzień,day
życie,life
lepiej,better
miał,had
rzeczy,things
twoja,your
czasu,time
ok,ok
temu,ago
robisz,you do
myślisz,you think
kim,who
niech,let
które,which
oczywiście,of course
siebie,yourself
niego,him
cóż,well
powiedział,said
u,at
daj,give
moim,my
chodź,come
musi,must
my,we
nikt,nobody
twoje,yours
tych,these
pod,under
dlatego,therefore
pewnie,surely
powiedz,say
aby,so that
wtedy,then
wygląda,looks
jeden,one
mojego,my
im,them
mówi,says
dziś,today
taki,such
mieć,to have
jako,as
dwa,two
potem,then
wie,knows
takie,such
nią,her
wszystkie,all
znaczy,means
rozumiem,I understand
dzieje,happens
moją,my
będziemy,we will
wiele,many
stąd,from here
oni,they
mojej,my
miejsce,place
iść,to go
kilka,a few
pomóc,to help
dużo,a lot
ile,how much
jasne,clear
byłem,I was
swoje,your own
myśli,thoughts
cały,whole
skąd,from where
wiedzieć,to know
dzieci,children
nich,them
która,which
wam,to you
przykro,sorry
można,it is possible
jakieś,some
tę,this
wszystkich,all
nad,over
jakiś,some
sposób,way
trzeba,need
mają,they have
niej,her
pracy,work
kogoś,someone
tyle,so much
robić,to do
bardziej,more
mówisz,you say
zanim,before
zbyt,too
szybko,quickly
dzisiaj,today
tobie,to you
